"å","a"
"Å","A"
"So0","Soo"
"S0","so"
" So "," so "
" So."," so."
" So,"," so,"
"s0","so"
"-SO","-so"
"SO ","so "
"sO","so"
"...SO","...so"
"SO...","so..."
"SO,","so,"
"...So","...so"
"I'm So","I'm so"
"YOu","You"
"0r","or"
"Iam","I am"
" lam "," I am "
"['m","I'm"
"getit","get it"
"ifyou","if you"
"7he","The"
" Know"," know"
" Say"," say"
"tit is","it is"
" ts"," is"
" Knew"," knew"
" Keep"," keep"
" Kept"," kept"
" Suppose"," suppose"
" Started"," started"
" Without"," without"
"...1 ","...I "
"...1S","...is"
"..1S","..is"
".. 1S","..is"
"...1s","...is"
"...1f","...if"
"...IS","...is"
"...iS","...is"
"... iS","...is"
"..1N","..in"
"..1n","..in"
"...nas ","...has "
"...ne ","...he "
"...ne'll","...he'll"
"...ne's","...he's"
"...'d","...I'd"
"IN Case","In case"
"...IN ","...in "
"/n","In"
"I! ","I "
"£ome","home"
"...OF ","...or "
"ofhis","of his"
"didjump","did jump"
"...aS","...as"
"is§","is"
"nave ","have "
"tOO","too"
"...'ll","...I'll"
" Say "," say "
" Can "," can "
" aman"," a man"
"7hirty","Thirty"
" fo "," to "
" tan's"," Ian's"
"I Street","L Street"
"...Is ","...is "
"...80 ","...so "
"IS ","is "
"who! am","who I am"
" ita "," it a "
" Support"," support"
"2 Hey,","♪ Hey,"
"Hey J!","Hey ♪!"
"JHola","Hola"
"/don't","I don't"
"J}","♪"
"!he","The"
"/ate","late"
"/'ll","I'll"
"Yes/","Yes!"
"JAy","Jay"
"/m","I'm"
"/t","It"
"aS ","as "
" Still"," still"
" Starting"," starting"
" Suspend"," suspend"
"How do!","How do I"
"Ls ","Is "
